-0.35	0.14	-1
0.19	0.0094	-1
-0.35	0.74	-1
0.1	0.022	-1
0.46	0.71	-1
0.48	0.39	-1
-0.11	0.066	-1
0.4	0.79	-1
0.29	0.061	-1
0.047	0.81	1
-0.3	0.62	1
-0.3	0.92	-1
0.42	0.61	-1
0.43	0.14	-1
0.39	0.75	-1
0.46	0.36	-1
-0.15	0.26	1
0.21	0.061	-1
0.27	0.52	1
0.16	0.22	1
-0.43	0.5	1
-0.17	0.67	1
-0.2	0.55	1
-0.17	0.64	1
-0.43	0.94	-1
0.004	0.018	1
-0.42	0.98	-1
0.45	0.09	-1
0.4	0.17	-1
0.15	0.53	1
-0.35	0.33	-1
0.081	0.1	1
-0.22	0.7	1
0.4	0.7	-1
-0.09	0.85	1
-0.011	0.055	1
0.068	0.65	1
-0.37	0.27	-1
-0.019	0.037	1
0.22	0.77	1
-0.015	0.96	1
-0.46	0.75	-1
-0.48	0.69	-1
-0.23	0.77	1
0.18	0.51	1
-0.24	0.5	1
-0.48	0.47	-1
0.27	0.14	-1
-0.058	0.54	1
0.48	0.32	-1
-0.29	0.96	-1
-0.024	0.75	1
0.21	0.27	1
-0.17	0.69	1
-0.028	0.98	-1
0.099	0.64	1
0.39	0.12	-1
0.49	0.75	-1
-0.052	0.83	1
-0.076	0.78	1
0.34	0.94	-1
-0.4	0.97	-1
0.023	0.94	1
0.22	0.75	1
-0.13	0.35	1
0.067	0.14	1
-0.31	0.7	-1
0.47	0.35	-1
0.48	0.97	-1
0.14	0.34	1
0.17	0.94	-1
-0.18	0.59	1
0.18	0.83	-1
-0.17	0.81	1
0.35	0.96	-1
0.044	0.26	1
0.27	0.42	1
-0.41	0.68	-1
0.41	0.86	-1
0.019	0.56	1
-0.44	0.42	-1
0.049	0.034	-1
0.11	0.59	1
-0.14	0.53	1
-0.26	0.48	1
-0.11	0.3	1
0.029	0.41	1
0.22	0.63	1
-0.13	0.062	-1
0.3	0.87	-1
0.25	0.64	1
-0.16	0.5	1
0.49	0.72	-1
0.15	0.62	1
0.057	0.29	1
-0.22	0.32	1
-0.25	0.73	1
0.45	0.57	-1
-0.32	0.98	-1
0.29	0.098	-1
-0.25	0.97	-1
0.41	0.4	-1
-0.22	0.45	1
-0.38	0.92	-1
-0.32	0.91	-1
0.091	0.35	1
-0.092	0.6	1
-0.16	0.26	1
0.22	0.5	1
-0.21	0.89	-1
0.39	0.67	-1
0.02	0.15	1
0.07	0.62	1
-0.28	0.18	-1
0.32	0.53	1
0.034	0.95	1
-0.11	0.64	1
-0.07	0.33	1
-0.011	0.7	1
0.23	0.44	1
0.44	0.38	-1
0.061	0.49	1
-0.28	0.62	1
-0.49	0.43	-1
0.32	0.64	1
0.31	0.78	-1
0.35	0.23	-1
0.24	0.93	-1
0.35	0.36	1
-0.44	0.14	-1
-0.24	0.9	-1
0.13	0.35	1
